Date,total_consumption_kWh,peak_load_kWh,avg_load_kWh,overloaded_hours,critical_hours,low_load_hours,peak_hours,daily_maintenance_pressure,rolling_30d_pressure,rolling_30d_overloaded_hours
2022-06-14,53676778.995,2606697.181,2236532.458125,0,0,0,0,9.89508498620019,277.6570174842866,0.0
2022-06-15,53711670.168,2599589.284,2237986.2569999998,0,0,0,0,9.893146883605942,276.56881160800333,0.0
2022-06-16,53702702.812,2620125.737,2237612.617166667,0,0,0,0,9.891043255673491,276.1681837086225,0.0
2022-06-17,52183329.624,2587301.065,2174305.401,0,0,0,0,9.360095176484021,274.58489038614096,0.0
2022-06-18,44933309.119,2063943.881,1872221.2132916667,0,0,5,0,6.861606957721786,270.63468789749646,0.0
2022-06-19,44575362.12,2151060.687,1857306.755,0,0,7,0,6.784974491932218,267.6721727337667,0.0
2022-06-20,53571117.800000004,2624567.65,2232129.9083333337,0,0,3,0,9.90855572990104,269.70483971541944,0.0
2022-06-21,55453871.723,2688126.264,2310577.988458333,0,0,0,0,10.596494223339166,273.50289989217583,0.0
2022-06-22,54525892.831,2659250.599,2271912.201291667,0,0,0,0,10.195110540938668,272.20624404365867,0.0
2022-06-23,54243848.363,2649871.622,2260160.3484583334,0,0,0,0,10.061128786970745,271.4941733354879,0.0
2022-06-24,55185589.927999996,2740299.426,2299399.580333333,0,0,0,0,10.401587561321728,271.56631141872015,0.0
2022-06-25,45351931.921,2102766.252,1889663.8300416665,0,0,5,0,6.976758666481619,270.47859770914437,0.0
2022-06-26,44771513.126,2153376.924,1865479.7135833334,0,0,8,0,6.838873559259231,268.70374313475537,0.0
2022-06-27,53966503.026,2662068.762,2248604.29275,0,0,2,0,10.093051843046787,271.4179244293127,0.0
2022-06-28,52580631.725999996,2570949.4159999997,2190859.65525,0,0,2,0,9.508141844673997,274.534440028911,0.0
2022-06-29,52608164.725,2559021.653,2192006.863541667,0,0,1,0,9.500878894115692,274.2013352225405,0.0
2022-06-30,54444393.668,2688388.977,2268516.4028333332,0,0,0,0,10.172081284990412,274.09317985646027,0.0
2022-07-01,51114834.605,2603730.565,2129784.775208333,0,0,2,0,9.035711538427474,272.80773040257617,0.0
2022-07-02,44248215.57,2189004.227,1843675.64875,0,0,7,0,6.737379478536312,268.0885086948095,0.0
2022-07-03,43067458.782,2090860.497,1794477.4492499998,0,0,8,0,6.3570629583019596,264.53871539472107,0.0
2022-07-04,54063912.536,2812350.164,2252663.0223333333,0,0,5,0,10.239232995920617,267.6883528025559,0.0
2022-07-05,53335662.256,2671409.745,2222319.2606666666,0,0,0,0,9.827062460752876,271.08992800953393,0.0
2022-07-06,53376110.488,2557546.47,2224004.6036666664,0,0,0,0,9.772824465599605,272.9411819871239,0.0
2022-07-07,55216376.6,2626281.562,2300682.3583333334,0,0,0,0,10.347401342369979,272.63153490406387,0.0
2022-07-08,51649928.547,2522692.903,2152080.356125,0,0,0,0,9.189238167572507,271.71484802778565,0.0
2022-07-09,44546907.114,2191107.962,1856121.12975,0,0,7,0,6.815669908342796,268.38611287871703,0.0
2022-07-10,43162710.167,2077423.018,1798446.2569583335,0,0,8,0,6.353584932576878,265.60873684667746,0.0
2022-07-11,50361487.828999996,2481411.613,2098395.326208333,0,0,6,0,8.765014872700721,267.37694907328154,0.0
2022-07-12,52467224.008,2547117.963,2186134.333666667,0,0,3,0,9.463801703384421,269.83550728031776,0.0
2022-07-13,53593582.771,2704571.338,2233065.9487916664,0,0,0,0,9.896322131814324,269.7389216429572,0.0
2022-07-14,52975218.2,2604378.4480000003,2207300.7583333333,0,0,2,0,9.653035385407199,269.4968720421642,0.0
2022-07-15,49373952.001,2411320.112,2057248.0000416667,0,0,0,0,8.338976164027043,267.94270132258526,0.0
2022-07-16,43208060.148,2137392.933,1800335.8395,0,0,8,0,6.412216164150528,264.46387423106233,0.0
2022-07-17,41988019.657,2076030.103,1749500.8190416666,0,0,10,0,6.107168492134478,261.2109475467128,0.0
2022-07-18,46842243.053,2270717.076,1951760.1272083335,0,0,6,0,7.559169825165425,261.9085104141564,0.0
2022-07-19,47959679.988,2398374.6289999997,1998319.9995,0,0,6,0,7.922343090814538,263.04587901303876,0.0
2022-07-20,49557992.333000004,2330454.8,2064916.3472083334,0,0,2,0,8.329790547698126,261.46711383083584,0.0
2022-07-21,48917841.747,2332205.515,2038243.406125,0,0,1,0,8.15748717527883,259.0281067827755,0.0
2022-07-22,46561737.393,2235843.904,1940072.391375,0,0,5,0,7.417029691779056,256.2500259336159,0.0
2022-07-23,41876214.623,1996329.132,1744842.2759583334,0,0,9,0,5.97386980616995,252.1627669528151,0.0
2022-07-24,41249651.263,2028771.622,1718735.4692916665,0,0,10,0,5.882189068114295,247.64336845960767,0.0
2022-07-25,48555041.837,2342270.5609999998,2023126.7432083332,0,0,5,0,8.082922417651234,248.7495322107773,0.0
2022-07-26,48301191.257,2355448.758,2012549.6357083332,0,0,6,0,8.09515298196243,250.00581163348048,0.0
2022-07-27,46671234.39,2323543.7399999998,1944634.76625,0,0,7,0,7.524849288171737,247.43760907860542,0.0
2022-07-28,45197117.582,2170363.354,1883213.2325833335,0,0,7,0,7.021115632012772,244.95058286594423,0.0
2022-07-29,45161677.462,2176137.616,1881736.5609166666,0,0,7,0,6.996840869938168,242.4465448417667,0.0
2022-07-30,42069526.549,1994546.537,1752896.9395416668,0,0,9,0,6.04325192087397,238.31771547765027,0.0
2022-07-31,42231195.325,2129613.062,1759633.1385416668,0,0,9,0,6.147278803630691,235.42928274285347,0.0
2022-08-01,49734017.008,2500147.281,2072250.7086666666,0,0,6,0,8.642536757600734,237.33444002191789,0.0
2022-08-02,51387011.872,2651758.2229999998,2141125.4946666667,0,0,6,0,9.249347005384099,240.22672406900003,0.0
2022-08-03,51660908.146,2619456.1520000002,2152537.8394166664,0,0,3,0,9.228462381779892,239.2159534548593,0.0
2022-08-04,50315439.123,2487927.697,2096476.6301250001,0,0,5,0,8.753033089950597,238.14192408405702,0.0
2022-08-05,47552216.279,2338776.1,1981342.3449583333,0,0,6,0,7.803780963652317,236.17288058210974,0.0
2022-08-06,43497230.703,2187502.901,1812384.612625,0,0,9,0,6.5627443993850605,232.38822363912482,0.0
2022-08-07,42897215.533,2150556.213,1787383.9805416667,0,0,8,0,6.373741272848541,229.57272674440085,0.0
2022-08-08,52350307.480000004,2612648.967,2181262.811666667,0,0,6,0,9.563972654604774,232.32102949066282,0.0
2022-08-09,53983956.659,2641335.094,2249331.5274583334,0,0,0,0,10.041841961919351,236.0092865200053,0.0
2022-08-10,54524575.428,2637732.755,2271857.3095,0,0,0,0,10.213167062377664,237.45743870968224,0.0
2022-08-11,54633952.634,2650730.908,2276414.6930833333,0,0,0,0,10.2466517898362,238.24028879613402,0.0
2022-08-12,52798445.811,2651125.174,2199935.242125,0,0,0,0,9.584083087437211,237.9280497517569,0.0
2022-08-13,45508988.89,2117881.178,1896207.8704166666,0,0,6,0,7.032542679159517,235.30755704550924,0.0
2022-08-14,45416676.767,2208040.395,1892361.5319583332,0,0,8,0,7.034242504794565,234.00282338627673,0.0
2022-08-15,55163614.107,2704767.817,2298483.921125,0,0,2,0,10.522748991358888,238.1133562134851,0.0
2022-08-16,56042579.026,2743591.588,2335107.4594166665,0,0,0,0,10.799729538453578,242.8059172598042,0.0
2022-08-17,55600777.274,2703086.144,2316699.053083333,0,0,0,0,10.619260086524541,245.8660075211633,0.0
2022-08-18,55253815.082,2696083.046,2302242.2950833333,0,0,0,0,10.489608041417219,248.433272471766,0.0
2022-08-19,52732866.243,2648862.055,2197202.760125,0,0,0,0,9.56439808211483,249.66788000618268,0.0
2022-08-20,44571797.512,2073481.739,1857158.2296666668,0,0,6,0,6.7411159195881485,248.25150875049204,0.0
2022-08-21,44657276.855000004,2176129.18,1860719.8689583335,0,0,7,0,6.852615541856358,247.68709460056934,0.0
2022-08-22,53121782.918,2615350.787,2213407.6215833332,0,0,5,0,9.768090015211747,251.48131480961115,0.0
2022-08-23,54494768.355000004,2643793.245,2270615.348125,0,0,0,0,10.213971745914469,255.81309748741128,0.0
2022-08-24,55037844.861,2676810.199,2293243.535875,0,0,0,0,10.405113345275574,258.13528841503563,0.0
2022-08-25,54927018.978,2668431.541,2288625.79075,0,0,0,0,10.353104558570685,260.3932399916439,0.0
2022-08-26,53080684.106,2668393.859,2211695.1710833334,0,0,0,0,9.709192785989094,262.5775834894613,0.0
2022-08-27,44139237.174,2063427.108,1839134.88225,0,0,7,0,6.617197941723021,262.1736657991715,0.0
2022-08-28,43930399.084,2202995.086,1830433.2951666666,0,0,8,0,6.637489998116564,261.8143149273499,0.0
2022-08-29,52900905.868,2608076.102,2204204.4111666665,0,0,4,0,9.705169276589151,265.4762322830651,0.0
2022-08-30,53356352.612,2579151.112,2223181.3588333335,0,0,0,0,9.750484303206852,269.07943778264126,0.0
2022-08-31,53099425.157,2559680.496,2212476.048208333,0,0,1,0,9.686837807304576,270.12373883234505,0.0
2022-09-01,53738876.62,2613334.4250000003,2239119.8591666664,0,0,0,0,9.916253683574887,270.79064551053585,0.0
2022-09-02,51345917.12,2552670.828,2139413.2133333334,0,0,0,0,9.037419826408183,270.5996029551642,0.0
2022-09-03,44562338.785,2319871.736,1856764.1160416666,0,0,7,0,6.839171055813867,268.68574092102745,0.0
2022-09-04,43754617.637,2194414.718,1823109.0682083333,0,0,8,0,6.617598078972074,267.4995580363472,0.0
2022-09-05,52983984.362,2566419.267,2207666.0150833335,0,0,5,0,9.720360045084766,270.6571736820469,0.0
2022-09-06,55430636.872,2730100.931,2309609.8696666667,0,0,0,0,10.456303794413694,274.73973620361204,0.0
2022-09-07,52942018.29,2559231.322,2205917.42875,0,0,1,0,9.649409310457715,274.825172859465,0.0
2022-09-08,53301846.647,2769713.64,2220910.2769583333,0,0,2,0,9.842980037276673,274.62631093482236,0.0
2022-09-09,51666002.626,2621120.505,2152750.109416667,0,0,0,0,9.201151517739582,273.6142953901842,0.0
2022-09-10,43036851.426,2020307.942,1793202.1427499999,0,0,9,0,6.299519013354134,269.66716261370215,0.0
2022-09-11,42051398.543,2062647.2040000001,1752141.6059583332,0,0,8,0,6.0417644836739,266.12484400993884,0.0
2022-09-12,51712886.57,2533283.934,2154703.607083333,0,0,5,0,9.262268505696941,268.3545698364763,0.0
2022-09-13,53393470.241,2578983.601,2224727.926708333,0,0,0,0,9.818812240286682,271.13913957196837,0.0
