TimeUTC,TimeDK,RegionName,ConsumerCategory2,ConsumerCategory3,ConsumptionkWh
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Hovedstaden,Privat,Privat,461057.152
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Midtjylland,Erhverv,Erhverv,556626.273
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,49446.136
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Midtjylland,Privat,Privat,402969.524
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Nordjylland,Erhverv,Erhverv,290264.356
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,26258.956
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Nordjylland,Privat,Privat,203007.151
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Sjælland,Erhverv,Erhverv,365303.786
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Sjælland,Erhverv,Offentlige foretagender,35367.592
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Sjælland,Privat,Privat,325970.542
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Syddanmark,Erhverv,Erhverv,671197.923
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,45999.233
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Syddanmark,Privat,Privat,368296.701
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Hovedstaden,Erhverv,Erhverv,687595.581
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,93570.058
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Hovedstaden,Privat,Privat,447534.32
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Midtjylland,Erhverv,Erhverv,601675.467
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,49006.419
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Midtjylland,Privat,Privat,396305.599
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Nordjylland,Erhverv,Erhverv,331914.864
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,26225.143
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Nordjylland,Privat,Privat,194557.09
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Sjælland,Erhverv,Erhverv,363994.512
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Sjælland,Erhverv,Offentlige foretagender,35205.906
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Sjælland,Privat,Privat,317343.315
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Syddanmark,Erhverv,Erhverv,712726.258
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,46185.854
2025-12-31T12:00:00,2025-12-31T13:00:00,Region Syddanmark,Privat,Privat,364398.238
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Hovedstaden,Erhverv,Erhverv,674243.95
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,94133.858
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Hovedstaden,Privat,Privat,441710.184
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Midtjylland,Erhverv,Erhverv,630931.527
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,49648.31
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Midtjylland,Privat,Privat,397360.035
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Nordjylland,Erhverv,Erhverv,338491.131
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,26471.445
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Nordjylland,Privat,Privat,192781.113
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Sjælland,Erhverv,Erhverv,370060.143
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Sjælland,Erhverv,Offentlige foretagender,35613.295
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Sjælland,Privat,Privat,316711.273
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Syddanmark,Erhverv,Erhverv,732262.257
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,48182.761
2025-12-31T11:00:00,2025-12-31T12:00:00,Region Syddanmark,Privat,Privat,366492.921
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Hovedstaden,Erhverv,Erhverv,677938.198
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,96982.54
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Hovedstaden,Privat,Privat,437706.818
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Midtjylland,Erhverv,Erhverv,663321.291
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,51234.25
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Midtjylland,Privat,Privat,395382.773
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Nordjylland,Erhverv,Erhverv,332542.354
