TimeUTC,TimeDK,HousingCategory,HeatingCategory,ConsumptionkWh
2025-12-31T01:00:00,2025-12-31T02:00:00,Andet,Elvarme eller varmepumpe,10408.796
2025-12-31T01:00:00,2025-12-31T02:00:00,Etageejendom,Andet,107889.225
2025-12-31T01:00:00,2025-12-31T02:00:00,Etageejendom,Elvarme eller varmepumpe,6670.912
2025-12-31T01:00:00,2025-12-31T02:00:00,Fritidshuse,Andet,9995.225
2025-12-31T01:00:00,2025-12-31T02:00:00,Fritidshuse,Elvarme eller varmepumpe,144272.024
2025-12-31T01:00:00,2025-12-31T02:00:00,Parcel- og rækkehuse,Andet,651752.288
2025-12-31T01:00:00,2025-12-31T02:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,463759.482
2025-12-31T01:00:00,2025-12-31T02:00:00,Ukendt,Andet,120416.928
2025-12-31T01:00:00,2025-12-31T02:00:00,Ukendt,Elvarme eller varmepumpe,91952.037
2025-12-31T00:00:00,2025-12-31T01:00:00,Andet,Andet,75891.545
2025-12-31T00:00:00,2025-12-31T01:00:00,Andet,Elvarme eller varmepumpe,10595.524
2025-12-31T00:00:00,2025-12-31T01:00:00,Etageejendom,Andet,121442.61
2025-12-31T00:00:00,2025-12-31T01:00:00,Etageejendom,Elvarme eller varmepumpe,6926.613
2025-12-31T00:00:00,2025-12-31T01:00:00,Fritidshuse,Andet,10209.617
2025-12-31T00:00:00,2025-12-31T01:00:00,Fritidshuse,Elvarme eller varmepumpe,146814.06
2025-12-31T00:00:00,2025-12-31T01:00:00,Parcel- og rækkehuse,Andet,650233.279
2025-12-31T00:00:00,2025-12-31T01:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,470404.327
2025-12-31T00:00:00,2025-12-31T01:00:00,Ukendt,Andet,120658.688
2025-12-31T00:00:00,2025-12-31T01:00:00,Ukendt,Elvarme eller varmepumpe,92698.764
2025-12-30T23:00:00,2025-12-31T00:00:00,Andet,Andet,77024.29
2025-12-30T23:00:00,2025-12-31T00:00:00,Andet,Elvarme eller varmepumpe,10895.018
2025-12-30T23:00:00,2025-12-31T00:00:00,Etageejendom,Andet,142428.621
2025-12-30T23:00:00,2025-12-31T00:00:00,Etageejendom,Elvarme eller varmepumpe,7178.745
2025-12-30T23:00:00,2025-12-31T00:00:00,Fritidshuse,Andet,10527.477
2025-12-30T23:00:00,2025-12-31T00:00:00,Fritidshuse,Elvarme eller varmepumpe,148743.151
2025-12-30T23:00:00,2025-12-31T00:00:00,Parcel- og rækkehuse,Andet,633480.582
2025-12-30T23:00:00,2025-12-31T00:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,468436.343
2025-12-30T23:00:00,2025-12-31T00:00:00,Ukendt,Andet,118839.312
2025-12-30T23:00:00,2025-12-31T00:00:00,Ukendt,Elvarme eller varmepumpe,92108.7
2025-12-30T22:00:00,2025-12-30T23:00:00,Andet,Andet,76599.462
2025-12-30T22:00:00,2025-12-30T23:00:00,Andet,Elvarme eller varmepumpe,10867.882
2025-12-30T22:00:00,2025-12-30T23:00:00,Etageejendom,Andet,168198.703
2025-12-30T22:00:00,2025-12-30T23:00:00,Etageejendom,Elvarme eller varmepumpe,7474.816
2025-12-30T22:00:00,2025-12-30T23:00:00,Fritidshuse,Andet,10758.206
2025-12-30T22:00:00,2025-12-30T23:00:00,Fritidshuse,Elvarme eller varmepumpe,150948.438
2025-12-30T22:00:00,2025-12-30T23:00:00,Parcel- og rækkehuse,Andet,571646.401
2025-12-30T22:00:00,2025-12-30T23:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,446203.415
2025-12-30T22:00:00,2025-12-30T23:00:00,Ukendt,Andet,108955.978
2025-12-30T22:00:00,2025-12-30T23:00:00,Ukendt,Elvarme eller varmepumpe,88461.391
2025-12-30T21:00:00,2025-12-30T22:00:00,Andet,Andet,80610.512
2025-12-30T21:00:00,2025-12-30T22:00:00,Andet,Elvarme eller varmepumpe,11077.569
2025-12-30T21:00:00,2025-12-30T22:00:00,Etageejendom,Andet,197418.942
2025-12-30T21:00:00,2025-12-30T22:00:00,Etageejendom,Elvarme eller varmepumpe,7942.454
2025-12-30T21:00:00,2025-12-30T22:00:00,Fritidshuse,Andet,11308.836
2025-12-30T21:00:00,2025-12-30T22:00:00,Fritidshuse,Elvarme eller varmepumpe,157508.969
2025-12-30T21:00:00,2025-12-30T22:00:00,Parcel- og rækkehuse,Andet,604039.212
2025-12-30T21:00:00,2025-12-30T22:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,456259.473
2025-12-30T21:00:00,2025-12-30T22:00:00,Ukendt,Andet,116266.457
2025-12-30T21:00:00,2025-12-30T22:00:00,Ukendt,Elvarme eller varmepumpe,90509.268
2025-12-30T20:00:00,2025-12-30T21:00:00,Andet,Andet,84408.165
2025-12-30T20:00:00,2025-12-30T21:00:00,Andet,Elvarme eller varmepumpe,11427.492
2025-12-30T20:00:00,2025-12-30T21:00:00,Etageejendom,Andet,222678.394
